,datetime,open,high,low,close,volume
876,2025-03-17 06:00:00,167.16,167.96,166.07,166.07,20.2076
877,2025-03-17 06:30:00,166.06,166.68,165.19,166.24,35.9475
878,2025-03-17 07:00:00,166.27,168.44,166.2,168.43,30.0078
879,2025-03-17 07:30:00,168.43,168.73,167.79,167.96,39.2036
880,2025-03-17 08:00:00,167.98,168.33,166.81,167.98,38.3385
881,2025-03-17 08:30:00,168.02,169.21,167.28,169.17,55.98
882,2025-03-17 09:00:00,169.12,170.45,168.23,170.28,110.7305
883,2025-03-17 09:30:00,170.31,171.77,169.58,171.77,233.9663
884,2025-03-17 10:00:00,171.76,172.23,170.77,171.74,159.8073
885,2025-03-17 10:30:00,171.73,172.58,171.19,171.78,66.093
886,2025-03-17 11:00:00,171.78,172.04,170.5,171.82,61.5897
887,2025-03-17 11:30:00,171.82,172.04,170.75,170.75,50.9692
888,2025-03-17 12:00:00,170.76,172.02,169.89,170.08,86.5403
889,2025-03-17 12:30:00,170.18,172.04,169.75,169.78,101.6462
890,2025-03-17 13:00:00,169.75,170.45,168.73,168.76,38.8057
891,2025-03-17 13:30:00,168.78,170.73,168.66,168.98,46.7316
892,2025-03-17 14:00:00,168.99,169.21,167.75,168.31,87.2856
893,2025-03-17 14:30:00,168.32,170.15,168.21,168.74,48.3475
894,2025-03-17 15:00:00,168.74,170.79,168.12,170.38,45.4697
895,2025-03-17 15:30:00,170.35,170.97,169.54,170.42,48.2567
896,2025-03-17 16:00:00,170.5,171.95,170.14,171.26,61.416
897,2025-03-17 16:30:00,171.32,172.23,170.45,171.1,59.9663
898,2025-03-17 17:00:00,171.14,172.8,170.89,172.49,38.9098
899,2025-03-17 17:30:00,172.41,173.86,172.16,173.6,85.4319
900,2025-03-17 18:00:00,173.8,174.63,173.35,174.63,68.0527
901,2025-03-17 18:30:00,174.63,176.43,174.62,176.25,129.2891
902,2025-03-17 19:00:00,176.2,177.03,176.05,176.44,157.7665
903,2025-03-17 19:30:00,176.36,177.06,175.75,176.47,90.9742
904,2025-03-17 20:00:00,176.49,176.89,175.4,175.41,41.0609
905,2025-03-17 20:30:00,175.41,176.59,175.27,175.93,106.0762
906,2025-03-17 21:00:00,175.89,176.65,175.43,175.5,105.2164
907,2025-03-17 21:30:00,175.51,176.12,175.24,175.66,20.4245
908,2025-03-17 22:00:00,175.66,175.91,174.99,175.89,42.044
909,2025-03-17 22:30:00,175.88,176.42,175.46,175.46,23.1796
910,2025-03-17 23:00:00,175.46,175.58,173.92,174.13,36.0394
911,2025-03-17 23:30:00,174.1,175.39,173.89,174.7,20.6599
912,2025-03-18 00:00:00,174.78,175.26,174.25,174.25,27.1807
913,2025-03-18 00:30:00,174.19,174.84,173.54,173.74,30.9539
914,2025-03-18 01:00:00,173.75,174.52,171.62,172.4,84.1391
915,2025-03-18 01:30:00,172.18,172.25,170.8,171.37,43.12
916,2025-03-18 02:00:00,171.36,172.83,171.34,172.29,19.9653
917,2025-03-18 02:30:00,172.2,172.74,171.78,171.84,22.2563
918,2025-03-18 03:00:00,171.87,171.87,170.6,170.64,28.57
919,2025-03-18 03:30:00,170.66,172.04,170.16,171.1,80.6125
920,2025-03-18 04:00:00,171.1,172.49,170.73,172.36,35.4112
921,2025-03-18 04:30:00,172.33,172.33,170.85,171.07,19.0428
922,2025-03-18 05:00:00,171.06,171.87,170.6,171.77,75.3176
923,2025-03-18 05:30:00,171.77,172.8,171.63,172.78,42.2156
924,2025-03-18 06:00:00,172.79,172.8,170.6,171.14,37.3531
925,2025-03-18 06:30:00,171.02,171.77,170.07,170.83,39.7684
926,2025-03-18 07:00:00,170.81,173.12,170.42,173.12,57.6784
927,2025-03-18 07:30:00,173.1,173.25,171.8,171.8,27.2859
928,2025-03-18 08:00:00,171.8,172.17,171.0,171.94,44.6117
929,2025-03-18 08:30:00,172.08,173.33,172.01,172.56,64.2366
930,2025-03-18 09:00:00,172.54,172.89,171.78,172.1,41.5551
931,2025-03-18 09:30:00,172.09,173.25,171.62,171.62,46.4853
932,2025-03-18 10:00:00,171.62,172.17,169.54,170.03,75.6505
933,2025-03-18 10:30:00,169.91,170.59,169.54,170.21,48.7639
934,2025-03-18 11:00:00,170.23,170.45,169.54,169.88,16.991
935,2025-03-18 11:30:00,169.82,170.02,168.73,169.29,33.0355
936,2025-03-18 12:00:00,169.23,169.88,168.73,168.98,25.4648
937,2025-03-18 12:30:00,169.01,169.71,168.66,169.05,32.3433
938,2025-03-18 13:00:00,169.04,169.59,168.38,169.18,37.4619
939,2025-03-18 13:30:00,169.21,169.28,166.16,166.49,91.5512
940,2025-03-18 14:00:00,166.49,167.75,166.16,167.69,48.1614
941,2025-03-18 14:30:00,167.83,169.21,167.56,168.7,60.1582
942,2025-03-18 15:00:00,168.48,168.54,167.58,168.1,57.7844
943,2025-03-18 15:30:00,168.07,168.64,166.31,166.39,26.7333
944,2025-03-18 16:00:00,166.39,167.72,166.31,167.72,48.2084
945,2025-03-18 16:30:00,167.83,168.17,165.67,166.8,61.4737
946,2025-03-18 17:00:00,166.79,167.04,165.72,165.82,23.7309
947,2025-03-18 17:30:00,165.73,166.15,165.1,165.3,43.9379
948,2025-03-18 18:00:00,165.35,166.3,165.1,165.61,15.6045
949,2025-03-18 18:30:00,165.58,167.15,164.89,166.96,24.8451
